Year,Epi_Week,Suspected_Cases,Confirmed_Cases,Deaths,CFR,Total_Cases,States
2021,3,11,0,0,0,11,"Adamawa, Nasarawa"
2021,4,2,0,0,0,2,"Crossriver, Nasarawa"
2021,5,87,1,5,5.75,88,"Bayelsa, kaduna, Kogi"
2021,6,12,0,0,0,12,"Delta, Kaduna, Kano"
2021,7,38,0,0,0,38,"Bauchi, Kogi"
2021,8,4,0,0,0,4,"Bauchi, Delta"
2021,9,29,0,0,0,29,Benue
2021,10,11,0,0,0,11,Oyo
2021,11,71,0,7,9.86,71,"Bayelsa, Kebbi"
2021,12,19,1,0,0,20,"Bayelsa, Kogi"
2021,13,151,0,9,5.96,151,Bayelsa
2021,14,431,4,13,3.02,435,"Bayelsa, Kano, Kebbi, Nasarawa"
2021,15,166,0,11,6.63,166,"Bayelsa, Kano,"
2021,16,235,0,13,5.53,235,"Bauchi, Bayelsa, kaduna, kano, Zamfara"
2021,17,264,1,13,4.92,265,"Bayelsa, Kaduna, Kano, Kogi"
2021,18,34,0,6,17.65,34,"Kaduna, Nasarawa"
2021,19,86,5,6,6.98,91,"Bauchi, Bayelsa, Delta "
2021,20,212,0,1,0.47,212,"Bauchi, Bayelsa, Delta, Kano, Kebbi"
2021,21,616,30,18,2.92,646,"Bauchi, Kano, Kwara, Plateau"
2021,22,204,0,2,0.98,204,"kano, Kwara, Plateau"
2021,23,376,3,4,1.06,379,"Kano, Kwara, Plateu, Yobe "
2021,24,2008,149,15,0.75,2157,"Bauchi, Bayelsa, Fct, Kano, Plateau"
2021,25,939,1,18,1.92,940,"Ebonyi, Fct, Kano,  Kebbi, Plateau"
2021,27,2559,5,30,1.17,2564,"Adamawa, Bauchi, Bayelsea , Ebonyi, Kano, KebbiI, Kogi, Plateau, Taraba"
2021,28,534,15,18,3.37,549,"Bauchi, Borno, Enugu, FCT, Kaduna, Kebbi,  Kogi, Kwara, Plateau "
2021,29,1554,0,20,1.29,1554,"Bauchi, FCT, Kaduna, Kano, Kebbi, Plateau"
2021,30,1699,3,86,5.06,1702,"Adamawa, Bauchi, Borno, Niger, Kastina, FCT, Jigawa, Kano, "
2021,31,2156,0,101,4.68,2156,"Adamawa, Kano, Kogi, Kebbi, Kastina, Jigawa, Niger, Sokoto, Yobe, Zamfara"
2021,32,4545,1,74,1.63,4546,"Adamawa, Borno, FCT,  Kano, Kogi, Kebbi, Kastina, Jigawa, Niger, Plateau, Nassarawa, Sokoto, Yobe, Zamfara"
2021,33,2910,3,94,3.23,2913,"Adamawa, Bauchi, Borno, Kano, Kastina, Kebbi, Jigawa, Niger, Sokoto, Yobe, Nassarawa"
2021,45,477,5,14,2.94,482,"Borno, Taraba, Nasarawa, Kebbi, Kastina, Adamawa, Bauchi, Enugu, Abia"
2021,46,352,0,4,1.14,352,"Adamawa, Borno, Kebbi, Kastina, Benue, Enugu, Lagos"
2021,48,233,0,3,1.29,233,"Bauchi, Kebbi, Nasarawa, Ogun, Bayelsa, Taraba, Ebonyi"
2022,18,38,0,1,2.63,38,"Kastina, Kebbi, kano, Bauchi, Adamawa"
2022,19,120,0,0,0,120,"Crossriver, Kano, Kastina"
2022,20,93,7,0,0,100,"Ondo, kastina, Kano, Bauchi, Plateau, Abia, Osun"
